CNPJ,Ref,Media180,NDias
04356413000164,202607,73148739,124
04356413000164,HOJE,73204599,121
04501865000192,202512,435771478,126
04501865000192,202601,393035646,126
04501865000192,202602,377805848,124
04501865000192,202603,367315050,123
04501865000192,202604,362470728,122
04501865000192,202605,362874406,121
04501865000192,202606,364643717,122
04501865000192,202607,365929280,124
04501865000192,HOJE,365752755,122
04511306000163,202512,6377288,126
04511306000163,202601,6423125,126
04511306000163,202602,6468667,124
04511306000163,202603,6523433,123
04511306000163,202604,6575008,122
04511306000163,202605,6627521,121
04511306000163,202606,6688868,122
04511306000163,202607,6754438,124
04511306000163,HOJE,6763228,122
04573108000124,202512,259394735,126
04573108000124,202601,252285549,126
04573108000124,202602,245717948,124
04573108000124,202603,245430562,123
04573108000124,202604,246869817,122
04573108000124,202605,240132538,121
04573108000124,202606,220473029,122
04573108000124,202607,188622748,124
04573108000124,HOJE,184736449,122
